Cue Nr.;Musiktitelstück (Title);TC Start;TC Ende (Finish);Länge in Sek. (Duration);Duration (s);Komponist/Texter/Bearbeiter (Composer, Written by);Nr. (Track Number on CD);Nutzungsart (Type of use - ILLM (Background) or VOR (Title));Musik Typ;Verlag (Publisher);CD-Titel;Interpret (Performer);Label;Label code;Gema Nr.;CDCatalog Nr.;ISRC;ISWC;BmatId;Video Link
11;Dream Within A Dream;00:13:13;00:13:35;00:00:22;22;Hans Zimmer (K);N/A;ILLM;VTON;Warner Olive Music (Ascap) (V);N/A;Hans Zimmer (INT);Warner Music Group;00322;---;N/A;USRE11000574;T9050153190;caef574e-b2a8-4526-a7f8-339a7df67f31;N/A
12;England;00:13:36;00:14:45;00:01:09;69;Aaron Dessner (K);N/A;ILLM;VTON;N/A;N/A;The National (INT);4AD;00121;11241550;N/A;GBAFL1000103;T9035265511;3bec97e1-b0b1-4824-be06-4411fcdff67a;N/A
13;Bones;00:15:07;00:15:59;00:00:52;52;Ms Mr (T), Ms Mr (K);N/A;ILLM;VTON;N/A;N/A;Ms Mr (INT);Creep City Records;00162;13342909;N/A;USSM11204888;T9091990000;8a2395d1-5251-4dc1-861e-f60e55889a94;N/A
14;Girls Like ( feat. Zara Larsson);00:17:14;00:17:29;00:00:15;15;Okogwu Patrick Junior Chukwuemka (K), Bennett Janee Millicent Lucy (K), Larsson Zara Maria (K), Sepehrmanesh Markus Reza (K), Jankel Lewis Shay (K), Bediako Rogues Nana (K), Bennett Aleisha Louise (K);N/A;ILLM;VTON;N/A;N/A;Tinie Tempah (INT);Parlophone Label Group;---;---;N/A;GB7TP1500035;T9189998547;be04bb05-4634-487b-b278-688044724f89;N/A
15;Saturday 8th October (X Factor Performance) - TEST 2;00:18:14;00:18:27;00:00:13;13;N (K), A (K);N/A;ILLM;VTON;N/A;N/A;The X Factor 2016 Test (INT);Sony Music Entertainment;---;---;N/A;GBHMU1600090;---;eecdc3a7-3f3e-4f56-b49f-5ca470248ec7;N/A
16;Lay Low (feat. Nate Dogg, Butch Cassidy, Tha Eastsidaz, Master P);00:18:43;00:18:54;00:00:11;11;Dr (K);N/A;ILLM;VTON;D.R (V);N/A;Snoop Dogg (INT);First Mike;---;5151411;N/A;FR6V82662469;T9066569606;aee1d94e-d2ae-40f1-9d60-6c0f7d15e669;N/A
17;---;00:19:04;00:19:16;00:00:12;12;N/A;N/A;ILLM;---;N/A;N/A;N/A;---;---;---;N/A;---;---;---;N/A
18;I Care;00:19:54;00:20:47;00:00:53;53;Beyoncé Knowles (T), Jeff Bhasker (T), Chad Hugo (T), Beyoncé Knowles (K), Jeff Bhasker (K), Chad Hugo (K);N/A;ILLM;VTON;N/A;N/A;Beyoncé (INT);Parkwood Entertainment/Columbia;---;12053702;N/A;USSM11102902;T9065303700;280b81c8-f689-417c-a05e-fb2f048cc4bb;N/A
19;Te Amo;00:21:19;00:22:08;00:00:49;49;Mikkel Storleer Eriksen (T), Robyn Fenty (T), James Fauntleroy Ii (T), Tor Erik Hermansen (T), Mikkel Storleer Eriksen (K), Robyn Fenty (K), James Fauntleroy Ii (K), Tor Erik Hermansen (K);N/A;ILLM;VTON;N/A;N/A;Rihanna (INT);Ariola;---;11052738;N/A;USUM70912379;T9048856344;4b56f959-a4ed-4684-a4d5-5ff8ed5325bd;N/A
20;Halo;00:22:11;00:22:15;00:00:04;4;"Ryan Tedder (T), Evan Kidd Bogart (T), Beyoncé Knowles (T), Beyoncé (K), Bogart Evan Kidd (K), Evan ""Kidd"" Bogart (K), Evan Kidd Bogart (K), Ryan Tedder (K), Beyoncé Knowles (K), Tedder Ryan B (K), Knowles Beyonce Gisselle (K)";N/A;ILLM;VTON;N/A;N/A;Beyoncé (INT);Sony Music Entertainment;---;---;N/A;USSM10806020;T9015597816;09280431-bfa9-4c81-bd5b-788eb8858722;N/A
21;---;00:22:15;00:22:37;00:00:22;22;N/A;N/A;ILLM;---;N/A;N/A;N/A;---;---;---;N/A;---;---;---;N/A
22;---;00:23:04;00:23:18;00:00:14;14;N/A;N/A;ILLM;---;N/A;N/A;N/A;---;---;---;N/A;---;---;---;N/A
23;Tunisian Malouf b 60;00:23:30;00:23:59;00:00:29;29;Lars-Luis Linek (K), Johannes Matthias Hoffmann (K);N/A;ILLM;PLM;N/A;N/A;Johannes Matthias Hoffmann (INT), Lars-Luis Linek (INT);Selected Sound;02292;---;N/A;DEC171200739;---;7e94d120-f75f-4892-881c-c9bbcd2e69f7;N/A
24;Egyptian Oud;00:24:12;00:24:32;00:00:20;20;Lars Luis Linek (K);N/A;ILLM;PLM;N/A;N/A;Lars Luis Linek (INT);PERFECT PITCH;24083;---;N/A;---;---;7b3dd97d-51c6-43c9-bf75-e453b55e351e;N/A
25;Symphony;00:25:10;00:25:17;00:00:07;7;N/A;N/A;ILLM;VTON;N/A;N/A;Funny (INT);Replay Music;---;---;N/A;ITAF01700009;---;3caad82c-c871-4a2f-a7c5-b3a3da0be35f;N/A
26;Youngblood;00:25:26;00:25:51;00:00:25;25;Ashton Irwin (K), Tamposi Alexandra (K), Ali Tamposi (K), Aston Irwin (K), Andrew Wotman (K), Irwin Ashton (K), Bell Louis (K), Alexandra Tamposi (K), Hood Calum (K), Luke Hemmings (K), Louis Bell (K), Hemmings Luke (K), Andrew Watt (K), Watt Andrew (K), Calum Hood (K), Ashton Irwin (T), Ali Tamposi (T), Andrew Wotman (T), Alexandra Tamposi (T), Luke Hemmings (T), Louis Bell (T), Andrew Watt (T), Aston Irwin (T), Calum Hood (T);N/A;ILLM;VTON;Copyright Control (V);N/A;5 Seconds Of Summer (INT);Universal Music Group;---;---;N/A;GBUM71800366;T9241024339;cef4a59b-0f8d-4d8c-be03-ff037f9e09e5;N/A
27;Dirty Harry (Instrumental);00:25:55;00:26:43;00:00:48;48;Romye Robinson (K);N/A;ILLM;VTON;N/A;N/A;Gorillaz (INT);Parlophone UK;---;8717552;N/A;GBAYE0402432;T9001600197;7f08cadc-144e-4306-8959-679ef26bac10;N/A
28;Clint Eastwood;00:27:20;00:27:37;00:00:17;17;N/A;N/A;ILLM;VTON;N/A;N/A;Best Of Hits (INT);Rendez-Vous Digital;---;---;N/A;FR0W61003275;---;dff46c40-86c9-433d-bda3-c890144b41e0;N/A
29;Galvanize (Extended Version);00:27:56;00:28:23;00:00:27;27;Ed Simons (K), Tom Rowlands (K), Kamaal Fareed (K), Aatabou (K);N/A;ILLM;VTON;N/A;N/A;The Chemical Brothers (INT);UMC (Universal Music Catalogue);---;---;N/A;GBAAA0400665;T9093381465;44bb361e-b46f-4d57-a4b5-c3aaf3450a58;N/A
30;Time Is Gold;00:28:26;00:28:40;00:00:14;14;N/A;N/A;ILLM;PLM;N/A;N/A;Hossam (INT), Tedstone (INT), Ramzy (INT), Michael (INT), Maryann (INT);audionetwork;---;---;N/A;---;---;2400ec56-f883-448b-865a-0d06de1e0a67;N/A
31;Marketplace;00:29:12;00:29:24;00:00:12;12;Alan Menken (T), Alan Menken (K);N/A;ILLM;VTON;Wonderland Music Co. (V), Inc. (V), Walt Disney Music Co (Ascap) (V);N/A;Alan Menken (INT);Universal Music Group;---;---;N/A;USWD10423213;T7000423098;743a108e-41b9-4731-9cd0-a78f96fdf773;N/A
32;Moves Like Jagger (Cutmore Dub Mix);00:29:25;00:30:01;00:00:36;36;Schuster Johan Karl (K), Levin Benjamin Joseph (K), Levine Adam Noah (K), Malik Ammar (K);N/A;ILLM;VTON;N/A;N/A;Maroon 5 Feat Christina Aguilera (INT);Universal Music Group;---;---;N/A;USUM71111357;T9063386196;3e002097-d9ba-419a-91f6-fb3a8bf2d955;N/A
33;Lemineke;00:30:17;00:30:41;00:00:24;24;Daby Toure (K);N/A;ILLM;PLM;N/A;N/A;Daby Toure (INT);INFINI;---;---;N/A;---;---;0510415b-8f59-4aa0-bab9-ef01d4c44d62;N/A
34;---;00:30:53;00:31:46;00:00:53;53;N/A;N/A;ILLM;---;N/A;N/A;N/A;---;---;---;N/A;---;---;---;N/A
35;---;00:32:43;00:32:59;00:00:16;16;N/A;N/A;ILLM;---;N/A;N/A;N/A;---;---;---;N/A;---;---;---;N/A
36;The Big Heist;00:33:39;00:33:58;00:00:19;19;Henry Mancini (T), Henry Mancini (K);N/A;ILLM;VTON;N/A;N/A;Henry Mancini & His Orchestra (INT);Academia Royal;00316;---;N/A;USRC16107199;T9013119590;64a45409-c7c9-4cce-a089-b91b546f1ae3;N/A
